Unnamed: 0,INSTNM,CITY,STABBR,ZIP,CONTROL,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS,REGION,DEP_INC_PCT_H2,MD_INC_WDRAW_2YR_TRANS_YR4_RT,IND_COMP_4YR_TRANS_YR4_RT,SD_EARN_WNE_P10,FEMALE_WDRAW_4YR_TRANS_YR6_RT,LO_INC_COMP_2YR_TRANS_YR3_RT,NOLOAN_COMP_ORIG_YR4_RT,OPENADMP,PELL_COMP_4YR_TRANS_YR3_RT,DEATH_YR2_RT,NOLOAN_UNKN_ORIG_YR2_RT,NOT1STGEN_WDRAW_ORIG_YR6_RT,HI_INC_YR8_N,CUML_DEBT_P90,C100_L4
2687,John Carroll University,University Heights,OH,44118-4581,2,0.8503,1161.0,39990.0,39990.0,2972.0,3,,,,,,,,2.0,,,,,,,
2688,Hondros College of Nursing,Westerville,OH,43081,3,0.5498,,18260.0,18260.0,2093.0,3,,,,,,,,2.0,,,,,,,
2689,Casal Aveda Institute,Austintown,OH,44515,3,,,,,123.0,3,,,,,,,,1.0,,,,,,,0.0952
2690,Kent State University at Ashtabula,Ashtabula,OH,44004,1,,,5664.0,14196.0,1789.0,3,,,,,,,,1.0,,,,,,,
2691,Kent State University at East Liverpool,East Liverpool,OH,43920,1,,,5664.0,14196.0,1057.0,3,,,,,,,,1.0,,,,,,,
2692,Kent State University at Stark,Canton,OH,44720-7599,1,,,5664.0,14196.0,4235.0,3,,,,,,,,1.0,,,,,,,
2693,Kent State University at Trumbull,Warren,OH,44483,1,,,5664.0,14196.0,2055.0,3,,,,,,,,1.0,,,,,,,
2694,Kent State University at Tuscarawas,New Philadelphia,OH,44663-9403,1,,,5664.0,14196.0,1762.0,3,,,,,,,,1.0,,,,,,,
2695,Kent State University at Salem,Salem,OH,44460,1,,,5664.0,14196.0,1403.0,3,,,,,,,,1.0,,,,,,,
2696,Kent State University at Kent,Kent,OH,44242-0001,1,0.8751,1142.0,10012.0,18544.0,22403.0,3,,,,,,,,2.0,,,,,,,
2697,Kent State University at Geauga,Burton,OH,44021,1,,,5664.0,14196.0,1955.0,3,,,,,,,,1.0,,,,,,,
2698,Kenyon College,Gambier,OH,43022,2,0.3384,1403.0,53560.0,53560.0,1661.0,3,,,,,,,,2.0,,,,,,,
2699,Kettering College,Kettering,OH,45429-1299,2,0.2836,1138.0,12408.0,12408.0,615.0,3,,,,,,,,2.0,,,,,,,
2700,Lake Erie College,Painesville,OH,44077-3389,2,0.6045,1036.0,30862.0,30862.0,750.0,3,,,,,,,,2.0,,,,,,,
2701,Lakeland Community College,Kirtland,OH,44094-5198,1,,,3316.0,9205.0,4381.0,3,,,,,,,,1.0,,,,,,,0.0663
2702,O C Collins Career Center,Chesapeake,OH,45619-0000,1,,,,,353.0,3,,,,,,,,2.0,,,,,,,0.0
2703,James A Rhodes State College,Lima,OH,45804,1,,,3845.0,7689.0,1991.0,3,,,,,,,,1.0,,,,,,,0.3938
